"epoch","step","train/cardinality_error","train/cardinality_error_0","train/cardinality_error_1","train/cardinality_error_2","train/cardinality_error_enc","train/class_error","train/loss","train/loss_bbox","train/loss_bbox_0","train/loss_bbox_1","train/loss_bbox_2","train/loss_bbox_enc","train/loss_ce","train/loss_ce_0","train/loss_ce_1","train/loss_ce_2","train/loss_ce_enc","train/loss_giou","train/loss_giou_0","train/loss_giou_1","train/loss_giou_2","train/loss_giou_enc","train/lr","train/lr_max","train/lr_min","val/AP/fire","val/AP/smoke","val/F1","val/cardinality_error","val/cardinality_error_0","val/cardinality_error_1","val/cardinality_error_2","val/cardinality_error_enc","val/class_error","val/ema_mAP_50","val/ema_mAP_50_95","val/ema_mAR","val/loss","val/loss_bbox","val/loss_bbox_0","val/loss_bbox_1","val/loss_bbox_2","val/loss_bbox_enc","val/loss_ce","val/loss_ce_0","val/loss_ce_1","val/loss_ce_2","val/loss_ce_enc","val/loss_giou","val/loss_giou_0","val/loss_giou_1","val/loss_giou_2","val/loss_giou_enc","val/mAP_50","val/mAP_50_95","val/mAP_75","val/mAR","val/precision","val/recall"
"1","969","","","","","","","","","","","","","","","","","","","","","","","","","","0.38905423879623413","0.4715847671031952","0.7140209078788757","298.76885986328125","296.8466796875","298.6370544433594","298.6986083984375","298.7566833496094","42.862159729003906","0.7755171656608582","0.44766971468925476","0.6693997383117676","4.652311325073242","0.03145024925470352","0.03316967561841011","0.03239408880472183","0.03247654065489769","0.04009115695953369","0.45842835307121277","0.49378806352615356","0.46605128049850464","0.4580892324447632","0.49670839309692383","0.13697004318237305","0.14322777092456818","0.14005380868911743","0.13858242332935333","0.15683463215827942","0.7612515091896057","0.43031951785087585","0.42567312717437744","0.6677290201187134","0.776809573173523","0.6666088104248047"
"1","969","3897.76123046875","3888.044921875","3896.78564453125","3895.216064453125","3898.502685546875","0.5779924392700195","8.311945915222168","0.0608070082962513","0.06139259412884712","0.0614270344376564","0.06134122610092163","0.0732131078839302","0.8186383247375488","0.8939856290817261","0.8381208777427673","0.821830689907074","0.9094388484954834","0.2354833036661148","0.24007761478424072","0.23875826597213745","0.23704466223716736","0.2681503891944885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","999","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1049","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1099","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1149","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1199","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1249","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1299","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1349","","","","","","","","","","","","","","","","","","","","","","","9.999999747378752e-05","9.999999747378752e-05","3.232564267818816e-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
