epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5340.43,1.57626,1.25295,0.01221,0.71823,0.66748,0.72446,0.41314,1.59061,1.18469,0.01628,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5506.1,1.58385,1.2545,0.0122,0.72664,0.67657,0.73415,0.42153,1.58121,1.18833,0.0161,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5671.32,1.56826,1.23272,0.01217,0.72815,0.66523,0.72938,0.41854,1.58125,1.17958,0.01619,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5836.35,1.56783,1.21838,0.01199,0.72949,0.65885,0.73185,0.4237,1.56934,1.18726,0.01603,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6000.6,1.56342,1.20854,0.01196,0.72614,0.68344,0.73573,0.42724,1.56996,1.17325,0.01608,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6165.65,1.55955,1.19758,0.01189,0.73662,0.67136,0.73328,0.42557,1.56116,1.15263,0.01585,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6331.26,1.57244,1.18638,0.0121,0.76338,0.65675,0.73898,0.427,1.57874,1.13988,0.01606,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6495.86,1.54828,1.17925,0.01171,0.73738,0.67874,0.74124,0.42987,1.5759,1.15589,0.01601,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6660.78,1.53899,1.16671,0.01162,0.73891,0.67571,0.74192,0.42961,1.58255,1.13299,0.01604,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6825.48,1.53413,1.16425,0.01162,0.7513,0.6713,0.7407,0.4287,1.59527,1.12494,0.01618,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6990.84,1.53357,1.14622,0.01155,0.74078,0.68169,0.74562,0.4324,1.58755,1.12665,0.016,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7155.58,1.53354,1.13999,0.01157,0.74965,0.68302,0.74652,0.43114,1.58414,1.13391,0.01595,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7321.29,1.52429,1.13379,0.01161,0.75105,0.67601,0.74542,0.43441,1.58316,1.1133,0.01605,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7486.57,1.52308,1.12126,0.01152,0.74629,0.68314,0.74556,0.43542,1.57251,1.1218,0.01584,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
