epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/fire,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,969,,,,,,,,,,,,,,,,,,,,,,,,,,0.3794954717159271,0.45954838395118713,0.7102450728416443,298.7630615234375,298.55169677734375,298.4883728027344,298.67132568359375,298.7682800292969,42.94108581542969,0.7703061103820801,0.44353318214416504,0.6654338836669922,4.713394641876221,0.030267421156167984,0.03237563744187355,0.03125280141830444,0.02977752313017845,0.03816596046090126,0.4804675579071045,0.5151491165161133,0.48113346099853516,0.4824293851852417,0.5231631398200989,0.1375877559185028,0.14136576652526855,0.13943150639533997,0.13763342797756195,0.15490920841693878,0.7419777512550354,0.41952192783355713,0.4169543981552124,0.6573010683059692,0.7674400210380554,0.6632317900657654
1,969,3897.490234375,3884.032958984375,3894.240234375,3896.1591796875,3897.888427734375,0.6640745401382446,8.270812034606934,0.06055150553584099,0.0603632889688015,0.0605880431830883,0.060698144137859344,0.07249699532985687,0.8171113133430481,0.9011515378952026,0.842061460018158,0.8221502304077148,0.9116001129150391,0.2329978048801422,0.23558759689331055,0.23454350233078003,0.23389694094657898,0.2645977735519409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,999,,,,,,,,,,,,,,,,,,,,,,,9.743155533215031e-05,9.743155533215031e-05,3.149537405988667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1049,,,,,,,,,,,,,,,,,,,,,,,9.717055945657194e-05,9.717055945657194e-05,3.141100705761346e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1099,,,,,,,,,,,,,,,,,,,,,,,9.689731814432889e-05,9.689731814432889e-05,3.1322681479650782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1149,,,,,,,,,,,,,,,,,,,,,,,9.661191870691255e-05,9.661191870691255e-05,3.1230422337102937e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1199,,,,,,,,,,,,,,,,,,,,,,,9.631442662794143e-05,9.631442662794143e-05,3.113425464107422e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1249,,,,,,,,,,,,,,,,,,,,,,,9.600491466699168e-05,9.600491466699168e-05,3.103420567640569e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1299,,,,,,,,,,,,,,,,,,,,,,,9.568347013555467e-05,9.568347013555467e-05,3.0930295906728134e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1349,,,,,,,,,,,,,,,,,,,,,,,9.535018034512177e-05,9.535018034512177e-05,3.0822559438092867e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1399,,,,,,,,,,,,,,,,,,,,,,,9.500513260718435e-05,9.500513260718435e-05,3.0711019007867435e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1449,,,,,,,,,,,,,,,,,,,,,,,9.464840695727617e-05,9.464840695727617e-05,3.05957064483664e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
