epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,1449,,,,,,,,,,,,,,,,,,,,,,,9.810349001782015e-05,9.810349001782015e-05,3.171258413203759e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1499,,,,,,,,,,,,,,,,,,,,,,,9.79712640400976e-05,9.79712640400976e-05,3.166984015479102e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1549,,,,,,,,,,,,,,,,,,,,,,,9.783467976376414e-05,9.783467976376414e-05,3.162568873449345e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1599,,,,,,,,,,,,,,,,,,,,,,,9.769375174073502e-05,9.769375174073502e-05,3.1580132144881645e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1649,,,,,,,,,,,,,,,,,,,,,,,9.754848724696785e-05,9.754848724696785e-05,3.153317493342911e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1699,,,,,,,,,,,,,,,,,,,,,,,9.739890083437786e-05,9.739890083437786e-05,3.1484819373872597e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1749,,,,,,,,,,,,,,,,,,,,,,,9.724500705488026e-05,9.724500705488026e-05,3.143507228742237e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1799,,,,,,,,,,,,,,,,,,,,,,,9.70868204603903e-05,9.70868204603903e-05,3.1383938221551944e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1849,,,,,,,,,,,,,,,,,,,,,,,9.692436287878081e-05,9.692436287878081e-05,3.133142172373482e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1899,,,,,,,,,,,,,,,,,,,,,,,9.67576343100518e-05,9.67576343100518e-05,3.127752734144451e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1949,,,,,,,,,,,,,,,,,,,,,,,9.658666385803372e-05,9.658666385803372e-05,3.1222259622154525e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1999,,,,,,,,,,,,,,,,,,,,,,,9.641145879868418e-05,9.641145879868418e-05,3.116562311333837e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2048,,,,,,,,,,,,,,,,,,,,,,,,,,0.4089508056640625,0.7008227705955505,297.8099365234375,299.1142883300781,299.1142883300781,298.6889953613281,299.1122131347656,15.302663803100586,0.7107925415039062,0.41282543540000916,0.6727036833763123,5.935483455657959,0.014567267149686813,0.01528014987707138,0.015008149668574333,0.015043281950056553,0.018333109095692635,0.6894711256027222,0.6946799755096436,0.6852089166641235,0.6852788925170898,0.6865114569664001,0.20118078589439392,0.20804014801979065,0.20568619668483734,0.20508438348770142,0.23159632086753845,0.7089714407920837,0.4089508056640625,0.42089420557022095,0.6706123352050781,0.7091087102890015,0.6927282810211182
0,2048,3899.336669921875,3899.439697265625,3899.439697265625,3898.733642578125,3899.439697265625,7.763401985168457,7.043184280395508,0.021018370985984802,0.02160502038896084,0.021156687289476395,0.021160105243325233,0.02471194975078106,0.7659570574760437,0.776930034160614,0.7681857943534851,0.7659186124801636,0.7802788615226746,0.2571133077144623,0.2620657682418823,0.2591080069541931,0.2581643760204315,0.2823871076107025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2049,,,,,,,,,,,,,,,,,,,,,,,9.623203368391842e-05,9.623203368391842e-05,3.110762463620631e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2099,,,,,,,,,,,,,,,,,,,,,,,9.604841761756688e-05,9.604841761756688e-05,3.10482664644951e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2149,,,,,,,,,,,,,,,,,,,,,,,9.586061059962958e-05,9.586061059962958e-05,3.0987557693151757e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2199,,,,,,,,,,,,,,,,,,,,,,,9.566864173393697e-05,9.566864173393697e-05,3.092550286964979e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2249,,,,,,,,,,,,,,,,,,,,,,,9.547252557240427e-05,9.547252557240427e-05,3.0862108815199463e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2299,,,,,,,,,,,,,,,,,,,,,,,9.527228394290432e-05,9.527228394290432e-05,3.079737780353753e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2349,,,,,,,,,,,,,,,,,,,,,,,9.506792412139475e-05,9.506792412139475e-05,3.0731316655874252e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2399,,,,,,,,,,,,,,,,,,,,,,,9.485947521170601e-05,9.485947521170601e-05,3.066393446715665e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2449,,,,,,,,,,,,,,,,,,,,,,,9.464695176575333e-05,9.464695176575333e-05,3.0595235784858232e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2499,,,,,,,,,,,,,,,,,,,,,,,9.443037561140954e-05,9.443037561140954e-05,3.0525225156452507e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2549,,,,,,,,,,,,,,,,,,,,,,,9.42097685765475e-05,9.42097685765475e-05,3.045391167688649e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2599,,,,,,,,,,,,,,,,,,,,,,,9.398513793712482e-05,9.398513793712482e-05,3.0381299893633695e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
